,CID,name,smiles,7.1-Drug Indication,8.1-Pharmacodynamics,8.2-MeSH Pharmacological Classification,"8.5-Absorption, Distribution and Excretion",8.6-Metabolism/Metabolites,8.7-Biological Half-Life
0,1100001,4-[(2R)-2-methylpiperidin-1-yl]sulfonyl-N-phenylbenzamide,C[C@@H]1CCCCN1S(=O)(=O)C2=CC=C(C=C2)C(=O)NC3=CC=CC=C3,,,,,,
1,1100002,"N-(2,5-dimethylphenyl)-N~2~-(3-methoxyphenyl)-N~2~-[(4-methylphenyl)sulfonyl]glycinamide",CC1=CC=C(C=C1)S(=O)(=O)N(CC(=O)NC2=C(C=CC(=C2)C)C)C3=CC(=CC=C3)OC,,,,,,
2,1100003,Methyl N-(3-chloro-4-methylphenyl)-N-[(4-methylphenyl)sulfonyl]glycinate,CC1=CC=C(C=C1)S(=O)(=O)N(CC(=O)OC)C2=CC(=C(C=C2)C)Cl,,,,,,
3,1100004,2-(3-chloro-2-methyl-N-methylsulfonylanilino)-N-(4-methoxyphenyl)acetamide,CC1=C(C=CC=C1Cl)N(CC(=O)NC2=CC=C(C=C2)OC)S(=O)(=O)C,,,,,,
4,1100005,2-[3-chloro-2-methyl(methylsulfonyl)anilino]-N-(3-methylphenyl)acetamide,CC1=CC(=CC=C1)NC(=O)CN(C2=C(C(=CC=C2)Cl)C)S(=O)(=O)C,,,,,,
5,1100006,4-[benzyl(methylsulfonyl)amino]-N-(2-bromophenyl)benzamide,CS(=O)(=O)N(CC1=CC=CC=C1)C2=CC=C(C=C2)C(=O)NC3=CC=CC=C3Br,,,,,,
6,1100007,N~2~-(4-ethoxyphenyl)-N~2~-[(4-methylphenyl)sulfonyl]-N-phenylglycinamide,CCOC1=CC=C(C=C1)N(CC(=O)NC2=CC=CC=C2)S(=O)(=O)C3=CC=C(C=C3)C,,,,,,
7,1100008,Methyl N-(4-bromophenyl)-N-(phenylsulfonyl)glycinate,COC(=O)CN(C1=CC=C(C=C1)Br)S(=O)(=O)C2=CC=CC=C2,,,,,,
8,1100009,N~2~-[(4-methoxyphenyl)sulfonyl]-N-(4-methylphenyl)-N~2~-phenylglycinamide,CC1=CC=C(C=C1)NC(=O)CN(C2=CC=CC=C2)S(=O)(=O)C3=CC=C(C=C3)OC,,,,,,
9,1100010,N-(2-ethoxyphenyl)-2-[4-isopropyl(methylsulfonyl)anilino]acetamide,CCOC1=CC=CC=C1NC(=O)CN(C2=CC=C(C=C2)C(C)C)S(=O)(=O)C,,,,,,
10,1100011,2-(4-chloro-N-methylsulfonylanilino)-N-[3-(trifluoromethyl)phenyl]acetamide,CS(=O)(=O)N(CC(=O)NC1=CC=CC(=C1)C(F)(F)F)C2=CC=C(C=C2)Cl,,,,,,
11,1100012,N-(5-chloro-2-methylphenyl)-4-methyl-N-[2-(morpholin-4-yl)-2-oxoethyl]benzenesulfonamide,CC1=CC=C(C=C1)S(=O)(=O)N(CC(=O)N2CCOCC2)C3=C(C=CC(=C3)Cl)C,,,,,,
12,1100013,Cambridge id 6212697,COC1=C(C=C(C=C1)N(CC(=O)NC2=CC=C(C=C2)Cl)S(=O)(=O)C)OC,,,,,,
