,CID,name,smiles,7.1 Drug Indication,8.1 Pharmacodynamics,8.2 MeSH Pharmacological Classification,"8.5 Absorption,Distribution and Excretion",8.6 Metabolism/Metabolites,8.7 Biological Half-Life
0,1900001,"1-(2,1,3-benzothiadiazol-4-yl)-N-[4-(dimethylamino)phenyl]methanimine oxide",CN(C)C1=CC=C(C=C1)/[N+](=C\C2=CC=CC3=NSN=C32)/[O-],,,,,,
1,1900002,"1-(heptylsulfanyl)-4-(4-methoxyphenyl)-7,7-dimethyl-6,9-dihydro-7H-pyrano[4',3':4,5]thieno[3,2-e][1,2,4]triazolo[4,3-a]pyrimidin-5(4H)-one",CCCCCCCSC1=NN=C2N1C3=C(C4=C(S3)COC(C4)(C)C)C(=O)N2C5=CC=C(C=C5)OC,,,,,,
2,1900003,CID 1900003,CC1=CC=C(C=C1)NC(=O)N([C@H]2C(SC(=S)N2NC(=O)NC3=CC=CC4=CC=CC=C43)(C)C)[O-],,,,,,
3,1900004,CID 1900004,CC1=CC=C(C=C1)NC(=O)N([C@@H]2C(SC(=S)N2NC(=O)NC3=CC=CC4=CC=CC=C43)(C)C)[O-],,,,,,
4,1900005,"(2S)-2-[[2-(2,2-dimethylpropanoylamino)acetyl]amino]-4-methylsulfanylbutanoate",CC(C)(C)C(=O)NCC(=O)N[C@@H](CCSC)C(=O)[O-],,,,,,
5,1900006,"(2S)-2-[[2-(2,2-dimethylpropanoylamino)acetyl]amino]-4-methylsulfanylbutanoic acid",CC(C)(C)C(=O)NCC(=O)N[C@@H](CCSC)C(=O)O,,,,,,
6,1900007,"(2R)-2-[[2-(2,2-dimethylpropanoylamino)acetyl]amino]-4-methylsulfanylbutanoate",CC(C)(C)C(=O)NCC(=O)N[C@H](CCSC)C(=O)[O-],,,,,,
7,1900008,"(2R)-2-[[2-(2,2-dimethylpropanoylamino)acetyl]amino]-4-methylsulfanylbutanoic acid",CC(C)(C)C(=O)NCC(=O)N[C@H](CCSC)C(=O)O,,,,,,
8,1900009,"butyl 2,3-dioxo-2,3-dihydro-1H-indole-1-carboxylate",CCCCOC(=O)N1C2=CC=CC=C2C(=O)C1=O,,,,,,
9,1900010,"(2S)-3-(3-bromophenyl)-2-(4-bromophenyl)-1,2-dihydroquinazolin-4-one",C1=CC=C2C(=C1)C(=O)N([C@H](N2)C3=CC=C(C=C3)Br)C4=CC(=CC=C4)Br,,,,,,
10,1900011,"(2R)-3-(3-bromophenyl)-2-(4-bromophenyl)-1,2-dihydroquinazolin-4-one",C1=CC=C2C(=C1)C(=O)N([C@@H](N2)C3=CC=C(C=C3)Br)C4=CC(=CC=C4)Br,,,,,,
