,CID,name,smiles,7.1 Drug Indication,8.1 Pharmacodynamics,8.2 MeSH Pharmacological Classification,"8.5 Absorption,Distribution and Excretion",8.6 Metabolism/Metabolites,8.7 Biological Half-Life
0,1965001,"(4R)-2-amino-5'-bromospiro[1,10-dihydro-[1,3,5]triazino[1,2-a]benzimidazole-3,5-diium-4,3'-1H-indole]-2'-one",C1=CC=C2C(=C1)NC3=[N+]2[C@@]4(C5=C(C=CC(=C5)Br)NC4=O)[NH+]=C(N3)N,,,,,,
1,1965002,"(4S)-2-amino-5'-bromospiro[1,10-dihydro-[1,3,5]triazino[1,2-a]benzimidazol-5-ium-4,3'-1H-indole]-2'-one",C1=CC=C2C(=C1)NC3=[N+]2[C@]4(C5=C(C=CC(=C5)Br)NC4=O)N=C(N3)N,,,,,,
2,1965003,CID 1965003,COC1=CC(=C(C=C1)C2=C3[C@H]4C[C@@H]([C@H]3ON2)[C@H]5[C@@H]4C(=O)N(C5=O)C6=CC=CC(=C6)C(F)(F)F)OC,,,,,,
3,1965004,CID 1965004,CCN1C(=NN=C1SCC(=O)NN=C/C=C/C2=CC=CC=C2)C3=CC=C(C=C3)OC,,,,,,
4,1965005,CID 1965005,CC1=CC=C(C=C1)S(=O)(=O)OC2=CC3=C(C=C2)C(=O)/C(=C\C4=C[NH+]=CC=C4)/O3,,,,,,
5,1965006,CID 1965006,CC1=CC=C(C=C1)S(=O)(=O)OC2=CC3=C(C=C2)C(=O)/C(=C\C4=CN=CC=C4)/O3,,,,,,
6,1965007,"2-[[5-(4-chlorophenyl)-4-ethyl-1,2,4-triazol-3-yl]sulfanyl]-N-[(3-hydroxyphenyl)methylideneamino]acetamide",CCN1C(=NN=C1SCC(=O)NN=CC2=CC(=CC=C2)O)C3=CC=C(C=C3)Cl,,,,,,
7,1965008,CID 1965008,CC1=CC=C(C=C1)S(=O)(=O)OC2=CC3=C(C=C2)C(=O)/C(=C/C4=C[NH+]=CC=C4)/O3,,,,,,
8,1965009,"(Z)-3-oxo-2-(pyridin-3-ylmethylene)-2,3-dihydrobenzofuran-6-yl 4-methylbenzenesulfonate",CC1=CC=C(C=C1)S(=O)(=O)OC2=CC3=C(C=C2)C(=O)/C(=C/C4=CN=CC=C4)/O3,,,,,,
9,1965010,"11-(1,3-benzodioxol-5-yl)-3-pentyl-3,11-dihydro-4H-pyrimido[5',4':4,5]pyrrolo[2,3-b]quinoxalin-4-one",CCCCCN1C=NC2=C(C1=O)C3=NC4=CC=CC=C4N=C3N2C5=CC6=C(C=C5)OCO6,,,,,,
