,CID,name,smiles,7.1-Drug Indication,8.1-Pharmacodynamics,8.2-MeSH Pharmacological Classification,"8.5-Absorption, Distribution and Excretion",8.6-Metabolism/Metabolites,8.7-Biological Half-Life
0,25929,Methyl-[methyl(sulfanylidene)-lambda5-arsanylidene]-sulfanylidene-lambda5-arsane,C[As](=S)=[As](=S)C,,,,,,
1,25930,"1-Allyl-3,5-dimethylpyrazole",CC1=CC(=NN1CC=C)C,,,,,,
2,25931,Lauraldehyde oxime,CCCCCCCCCCCC=NO,,,,,,
3,25932,"(2,5-Dichloro-4-cyclohexylphenyl)acetic acid",C1CCC(CC1)C2=C(C=C(C(=C2)Cl)CC(=O)O)Cl,,,,,,
4,25933,"N,N'-(Iminoditrimethylene)di-p-toluenesulfonamide",CC1=CC=C(C=C1)S(=O)(=O)NCCCNCCCNS(=O)(=O)C2=CC=C(C=C2)C.Cl,,,,,,
5,25934,4-methyl-N-[3-[3-[(4-methylphenyl)sulfonylamino]propylamino]propyl]benzenesulfonamide,CC1=CC=C(C=C1)S(=O)(=O)NCCCNCCCNS(=O)(=O)C2=CC=C(C=C2)C,,,,,,
6,25935,(2-Hydroxyethoxy)acetic acid,C(COCC(=O)O)O,,,,,,
7,25936,"Benzoic acid, 3,4-dichloro-, 2,3-dihydro-3-oxo-6-pyridazinyl ester",C1=CC(=C(C=C1C(=O)OC2=NNC(=O)C=C2)Cl)Cl,,,,,,
8,25937,"Ammonium, (2-(9,10-dihydro-9,10-ethanoanthracen-11-ylmethoxy)-1-methylethyl)trimethyl-, iodide",CC(COCC1CC2C3=CC=CC=C3C1C4=CC=CC=C24)[N+](C)(C)C.[I-],,,,,,
9,25938,"Trimethyl-[1-(15-tetracyclo[6.6.2.02,7.09,14]hexadeca-2,4,6,9,11,13-hexaenylmethoxy)propan-2-yl]azanium",CC(COCC1CC2C3=CC=CC=C3C1C4=CC=CC=C24)[N+](C)(C)C,,,,,,
10,25939,5-Oxo-2-phenyltetrahydro-2-furamide,C1CC(OC1=O)(C2=CC=CC=C2)C(=O)N,,,,,,
11,25940,5-Oxo-2-phenyltetrahydro-3-furamide,C1C(C(OC1=O)C2=CC=CC=C2)C(=O)N,,,,,,
