,CID,name,smiles,7.1,8.1,8.2,8.5,8.6,8.7
0,60001,Diethyl-[2-[(3-pentoxyphenyl)carbamoyloxy]-3-pyrrolidin-1-ium-1-ylpropyl]azanium;dichloride,CCCCCOC1=CC=CC(=C1)NC(=O)OC(C[NH+]2CCCC2)C[NH+](CC)CC.[Cl-].[Cl-],,,,,,
1,60002,[1-(diethylamino)-3-pyrrolidin-1-ylpropan-2-yl] N-(3-pentoxyphenyl)carbamate,CCCCCOC1=CC=CC(=C1)NC(=O)OC(CN2CCCC2)CN(CC)CC,,,,,,
2,60003,Diethyl-[2-[(3-heptoxyphenyl)carbamoyloxy]-3-pyrrolidin-1-ium-1-ylpropyl]azanium;dichloride,CCCCCCCOC1=CC=CC(=C1)NC(=O)OC(C[NH+]2CCCC2)C[NH+](CC)CC.[Cl-].[Cl-],,,,,,
3,60004,[1-(diethylamino)-3-pyrrolidin-1-ylpropan-2-yl] N-(3-heptoxyphenyl)carbamate,CCCCCCCOC1=CC=CC(=C1)NC(=O)OC(CN2CCCC2)CN(CC)CC,,,,,,
4,60005,"Carbamic acid, (3-(pentyloxy)phenyl)-, 1-ethyl-4-piperidinyl ester, monohydrochloride",CCCCCOC1=CC=CC(=C1)NC(=O)OC2CC[NH+](CC2)CC.[Cl-],,,,,,
5,60006,(1-ethylpiperidin-4-yl) N-(3-pentoxyphenyl)carbamate,CCCCCOC1=CC=CC(=C1)NC(=O)OC2CCN(CC2)CC,,,,,,
6,60007,"Carbamic acid, (3-butoxyphenyl)-, 1-propyl-4-piperidinyl ester, monohydrochloride",CCCCOC1=CC=CC(=C1)NC(=O)OC2CC[NH+](CC2)CCC.[Cl-],,,,,,
7,60008,(1-propylpiperidin-4-yl) N-(3-butoxyphenyl)carbamate,CCCCOC1=CC=CC(=C1)NC(=O)OC2CCN(CC2)CCC,,,,,,
8,60009,"Carbamic acid, (3-(hexyloxy)phenyl)-, 1-ethyl-4-piperidinyl ester, monohydrochloride",CCCCCCOC1=CC=CC(=C1)NC(=O)OC2CC[NH+](CC2)CC.[Cl-],,,,,,
9,60010,(1-ethylpiperidin-4-yl) N-(3-hexoxyphenyl)carbamate,CCCCCCOC1=CC=CC(=C1)NC(=O)OC2CCN(CC2)CC,,,,,,
10,60011,"Carbamic acid, (3-(pentyloxy)phenyl)-, 1-butyl-4-piperidinyl ester, monohydrochloride",CCCCCOC1=CC=CC(=C1)NC(=O)OC2CC[NH+](CC2)CCCC.[Cl-],,,,,,
11,60012,(1-butylpiperidin-4-yl) N-(3-pentoxyphenyl)carbamate,CCCCCOC1=CC=CC(=C1)NC(=O)OC2CCN(CC2)CCCC,,,,,,
12,60013,"AMMONIUM, (OXALYLBIS(IMINOPENTAMETHYLENE))BIS((o-CHLOROBENZYL)DIETHYL-, DIIODIDE",CC[N+](CC)(CCCCCNC(=O)C(=O)NCCCCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC2=CC=CC=C2Cl.[I-].[I-],,,,,,
13,60014,(2-Chlorophenyl)methyl-[5-[[2-[5-[(2-chlorophenyl)methyl-diethylazaniumyl]pentylamino]-2-oxoacetyl]amino]pentyl]-diethylazanium,CC[N+](CC)(CCCCCNC(=O)C(=O)NCCCCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC2=CC=CC=C2Cl,,,,,,
14,60015,CID 60015,CC(=O)C(=C(N(C1=CC=CC=C1)N(C)N=O)O)N=O,,,,,,
15,60016,"methyl (2S,3R)-3-(4-methoxyphenyl)oxirane-2-carboxylate",COC1=CC=C(C=C1)[C@H]2[C@H](O2)C(=O)OC,,,,,,
16,60017,Phenylephrine oxazolidine,CC(C)(C)C1N(CC(O1)C2=CC(=CC=C2)O)C,,,,,,
17,60018,"3,7-Dinitrofluoranthene",C1=CC2=C(C=CC3=C2C(=C1)C4=C3C=CC=C4[N+](=O)[O-])[N+](=O)[O-],,,,,,
18,60019,"trans-7,8-Dihydroxy-7,8-dihydrofluoranthene",C1=CC2=C3C(=C1)C4=C(C3=CC=C2)[C@@H]([C@H](C=C4)O)O,,,,,,
19,60020,Temafloxacin hydrochloride,CC1CN(CCN1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4=C(C=C(C=C4)F)F)F.Cl,,,"['Substances that inhibit the growth or reproduction of BACTERIA. (See all compounds classified as Anti-Bacterial Agents.)', 'Compounds that inhibit the activity of DNA TOPOISOMERASE II. Included in this category are a variety of ANTINEOPLASTIC AGENTS which target the eukaryotic form of topoisomerase II and ANTIBACTERIAL AGENTS which target the prokaryotic form of topoisomerase II. (See all compounds classified as Topoisomerase II Inhibitors.)']",,,
20,60021,Temafloxacin,CC1CN(CCN1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4=C(C=C(C=C4)F)F)F,"['For the treatment of lower respiratory tract infections, genital and urinary infections like prostatitis, and skin infections.']","['Temafloxacin is a fluoroquinolone antibiotic drug, marketed as Omniflox by Abbot Laboratories, which was withdrawn from the market in 1992 due to fatal adverse effects. Flouroquinolones such as lomefloxacin possess excellent activity against gram-negative aerobic bacteria such as <i>E.coli</i> and <i>Neisseria gonorrhoea</i> as well as gram-positive bacteria including <i>S. pneumoniae</i> and <i>Staphylococcus aureus</i>. They also posses effective activity against shigella, salmonella, campylobacter, gonococcal organisms, and multi drug resistant pseudomonas and enterobacter.']","['Substances that inhibit the growth or reproduction of BACTERIA. (See all compounds classified as Anti-Bacterial Agents.)', 'Compounds that inhibit the activity of DNA TOPOISOMERASE II. Included in this category are a variety of ANTINEOPLASTIC AGENTS which target the eukaryotic form of topoisomerase II and ANTIBACTERIAL AGENTS which target the prokaryotic form of topoisomerase II. (See all compounds classified as Topoisomerase II Inhibitors.)']","['Studies in healthy volunteers indicate that the average bioavailability of temafloxacin exceeds 90%, with little intersubject variability.']",['Hepatic.'],['Approximately 8 hours in patients with normal renal function.']
21,60022,"m-ANISIDINE, 4-(CYCLOPENTYLOXY)-",COC1=C(C=CC(=C1)N)OC2CCCC2,,,,,,
22,60023,"m-ANISIDINE, 4-(4-PENTENYLOXY)-, HYDROBROMIDE",COC1=C(C=CC(=C1)[NH3+])OCCCC=C.[Br-],,,,,,
23,60024,3-Methoxy-4-pent-4-enoxyaniline,COC1=C(C=CC(=C1)N)OCCCC=C,,,,,,
24,60025,6-Nitro-5-methylchrysene,CC1=C(C2=CC=CC=C2C3=C1C4=CC=CC=C4C=C3)[N+](=O)[O-],,,,,,
25,60026,ent-Nateglinide,CC(C)C1CCC(CC1)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)O,,,,,,
26,60027,"2,8-Dibromodibenzo-P-dioxin",C1=CC2=C(C=C1Br)OC3=C(O2)C=CC(=C3)Br,,,,,,
27,60028,alpha-(m-Aminophenyl)-beta-isopropylmethylaminoethanol,CC(C)N(C)CC(C1=CC(=CC=C1)N)O,,,,,,
28,60029,alpha-(m-Aminophenyl)-beta-methylpropylaminoethanol,CCCN(C)CC(C1=CC(=CC=C1)N)O,,,,,,
29,60030,"Carbamodithioic acid, diethyl-, 2-(phenylamino)-2-(phenylimino)ethyl ester",CCN(CC)C(=S)SCC(=NC1=CC=CC=C1)NC2=CC=CC=C2,,,,,,
30,60031,Diethylcarbamodithioic acid 2-((4-methylphenyl)amino)-2-(phenylimino)ethyl ester,CCN(CC)C(=S)SCC(=NC1=CC=C(C=C1)C)NC2=CC=CC=C2,,,,,,
31,60032,"Carbamodithioic acid, diethyl-, 2-((4-methoxyphenyl)amino)-2-(phenylimino)ethyl ester",CCN(CC)C(=S)SCC(=NC1=CC=C(C=C1)OC)NC2=CC=CC=C2,,,,,,
32,60033,Diethylcarbamodithioic acid 2-((4-ethoxyphenyl)amino)-2-(phenylimino)ethyl ester,CCN(CC)C(=S)SCC(=NC1=CC=C(C=C1)OCC)NC2=CC=CC=C2,,,,,,
33,60034,"Carbamodithioic acid, diethyl-, 2-((4-methylphenyl)amino)-2-((4-methylphenyl)imino)ethyl ester",CCN(CC)C(=S)SCC(=NC1=CC=C(C=C1)C)NC2=CC=C(C=C2)C,,,,,,
34,60035,Diethylcarbamodithioic acid 2-((4-methoxyphenyl)amino)-2-((4-methylphenyl)imino)ethyl ester,CCN(CC)C(=S)SCC(=NC1=CC=C(C=C1)C)NC2=CC=C(C=C2)OC,,,,,,
35,60036,"Carbamodithioic acid, diethyl-, 2-((4-ethoxyphenyl)amino)-2-((4-methylphenyl)imino)ethyl ester",CCN(CC)C(=S)SCC(=NC1=CC=C(C=C1)C)NC2=CC=C(C=C2)OCC,,,,,,
36,60037,"Carbamodithioic acid, diethyl-, 2-((4-methoxyphenyl)amino)-2-((4-methoxyphenyl)imino)ethyl ester",CCN(CC)C(=S)SCC(=NC1=CC=C(C=C1)OC)NC2=CC=C(C=C2)OC,,,,,,
37,60038,"Carbamodithioic acid, diethyl-, 2-((4-ethoxyphenyl)amino)-2-((4-methoxyphenyl)imino)ethyl ester",CCN(CC)C(=S)SCC(=NC1=CC=C(C=C1)OCC)NC2=CC=C(C=C2)OC,,,,,,
38,60039,"Carbamodithioic acid, diethyl-, 2-((4-ethoxyphenyl)amino)-2-((4-ethoxyphenyl)imino)ethyl ester",CCN(CC)C(=S)SCC(=NC1=CC=C(C=C1)OCC)NC2=CC=C(C=C2)OCC,,,,,,
39,60040,((4-Chlorophenyl)thio)acetic acid 2-(dimethylamino)ethanol (1:1),CN(C)CCO.C1=CC(=CC=C1SCC(=O)O)Cl,,,,,,
40,60041,"((4-Chlorophenyl)thio)acetic acid 2-(dimethylamino)-2-(hydroxymethyl)-1,3-propanediol (1:1)",CN(C)C(CO)(CO)CO.C1=CC(=CC=C1SCC(=O)O)Cl,,,,,,
41,60042,"2-(Dimethylamino)-2-(hydroxymethyl)propane-1,3-diol",CN(C)C(CO)(CO)CO,,,,,,
42,60043,((4-Chlorophenyl)thio)acetic acid 3-((1-(hydroxymethyl)amino)cyclohexyl)oxy-1-propanol (1:1),C1CCC(CC1)(NCO)OCCCO.C1=CC(=CC=C1SCC(=O)O)Cl,,,,,,
43,60044,3-[1-(Hydroxymethylamino)cyclohexyl]oxypropan-1-ol,C1CCC(CC1)(NCO)OCCCO,,,,,,
44,60045,((4-Chlorophenyl)thio)acetic acid 3-oxazolidineethanol (1:1),C1COCN1CCO.C1=CC(=CC=C1SCC(=O)O)Cl,,,,,,
45,60046,3-Oxazolidineethanol,C1COCN1CCO,,,,,,
46,60047,"Acetic acid, ((2,4-dichlorophenyl)thio)-, compd. with 2,2',2''-nitrilotris(ethanol) (1:1)",C1=CC(=C(C=C1Cl)Cl)SCC(=O)O.C(CO)N(CCO)CCO,,,,,,
47,60048,"Acetic acid, ((2,5-dichlorophenyl)thio)-, compd. with 2,2',2''-nitrilotris(ethanol) (1:1)",C1=CC(=C(C=C1Cl)SCC(=O)O)Cl.C(CO)N(CCO)CCO,,,,,,
48,60049,"[(2,5-Dichlorophenyl)thio]acetic acid",C1=CC(=C(C=C1Cl)SCC(=O)O)Cl,,,,,,
49,60050,"ACETIC ACID, ((4-METHYLPHENYL)THIO)-, compd. with 2-AMINOETHANOL (1:1)",CC1=CC=C(C=C1)SCC(=O)[O-].C(CO)[NH3+],,,,,,
50,60051,"((4-Methylphenyl)thio)acetic acid 2,2'-iminobis(ethanol) (1:1)",CC1=CC=C(C=C1)SCC(=O)[O-].C(CO)[NH2+]CCO,,,,,,
51,60052,"ACETIC ACID, ((4-NITROPHENYL)THIO)-, compd. with 2-AMINOETHANOL (1:1)",C1=CC(=CC=C1[N+](=O)[O-])SCC(=O)[O-].C(CO)[NH3+],,,,,,
52,60053,"ACETIC ACID, ((4-NITROPHENYL)THIO)-, compd. with 2,2'-IMINOBIS(ETHANOL) (1:1)",C1=CC(=CC=C1[N+](=O)[O-])SCC(=O)[O-].C(CO)[NH2+]CCO,,,,,,
53,60054,"Mono(2-hydroxyethyl)ammonium 2,4-dinitrophenylthioacetate",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])SCC(=O)O.C(CO)N,,,,,,
54,60055,"[(2,4-Dinitrophenyl)thio]acetic acid",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])SCC(=O)O,,,,,,
55,60056,"Bis(2-hydroxyethyl)ammonium 2,4-dinitrophenylthioacetate",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])SCC(=O)O.C(CO)NCCO,,,,,,
56,60057,"Tris(2-hydroxyethyl)ammonium 2,4-dinitrophenylthioacetate",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])SCC(=O)O.C(CO)N(CCO)CCO,,,,,,
57,60058,"Acetanilide, 4'-chloro-N-(dimethylcarbamoylmethyl)-",CC(=O)N(CC(=O)N(C)C)C1=CC=C(C=C1)Cl,,,,,,
58,60059,2-Bromooxanthrene,C1=CC=C2C(=C1)OC3=C(O2)C=C(C=C3)Br,,,,,,
59,60060,1-Bromodibenzo-p-dioxin,C1=CC=C2C(=C1)OC3=C(O2)C(=CC=C3)Br,,,,,,
60,60061,"3-(6-Amino-2-hydroxy-3-pyridylazo)-2,4,6-triiodobenzoic acid",C1=C(C(=O)NC(=C1)N)N=NC2=C(C=C(C(=C2I)C(=O)O)I)I,,,,,,
61,60062,Clinafloxacin hydrochloride,C1CC1N2C=C(C(=O)C3=CC(=C(C(=C32)Cl)N4CCC(C4)N)F)C(=O)O.Cl,,,,,,
62,60063,Clinafloxacin,C1CC1N2C=C(C(=O)C3=CC(=C(C(=C32)Cl)N4CCC(C4)N)F)C(=O)O,,,"['Substances that inhibit the growth or reproduction of BACTERIA. (See all compounds classified as Anti-Bacterial Agents.)', 'Compounds that inhibit the activity of DNA TOPOISOMERASE II. Included in this category are a variety of ANTINEOPLASTIC AGENTS which target the eukaryotic form of topoisomerase II and ANTIBACTERIAL AGENTS which target the prokaryotic form of topoisomerase II. (See all compounds classified as Topoisomerase II Inhibitors.)']",,,
63,60064,"2-(2-(Diethylamino)ethyl)-2-methyl-1,3-dioxolane-4-methanol",CCN(CC)CCC1(OCC(O1)CO)C,,,,,,
